标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
混血王子斯内普-AItalk,https://www.bilibili.com/video/BV12B4y1f7GR/,https://i2.hdslb.com/bfs/archive/33e7f8af979f6f4b53b36d45a0949629dcff7806.jpg@672w_378h_1c_!web-search-common-cover,7545,3,01:14,https://space.bilibili.com/86259710,AI上书囊-ailin, · 2023-10-4
AI马斯克、AI乔布斯携AITalk嘉宾送上中文端午祝福,https://www.bilibili.com/video/BV1Ws4y1C7qY/,https://i2.hdslb.com/bfs/archive/c9e9e3880da91f2ee11c8e20de3757c5a1bac6fe.jpg@672w_378h_1c_!web-search-common-cover,9841,4,00:42,https://space.bilibili.com/405083326,AI-Talk, · 2023-6-22
采访GPT-3 | AI居然如此风趣幽默,https://www.bilibili.com/video/BV1EV41117V8/,https://i2.hdslb.com/bfs/archive/aa8045fd7b4da8d7e91f07e52a5118ed3562bc0f.jpg@672w_378h_1c_!web-search-common-cover,445,0,16:21,https://space.bilibili.com/39456097,赵星波, · 2020-10-31
AI有“意识”了？它好像…生我气了……,https://www.bilibili.com/video/BV1d8411Z7Un/,https://i1.hdslb.com/bfs/archive/5a6cb615d73419252c4197e0a7e844ad6b49b5e4.jpg@672w_378h_1c_!web-search-common-cover,8.9万,109,01:34,https://space.bilibili.com/2104221322,我和AI的一天, · 2023-5-28
#数字人 讲解、问答、办理业务…样样全能 #AiTalk 让#Ai 像人一样，零智障地面对面对话、沟通和互动,https://www.bilibili.com/video/BV1wq4y1F7ZT/,https://i0.hdslb.com/bfs/archive/f14800d729a2b4cfa9446e87d01bbcf05ac45ed4.jpg@672w_378h_1c_!web-search-common-cover,371,0,00:12,https://space.bilibili.com/492575822,HadesLion, · 2022-1-28
在Youtube里用力过猛的AI,https://www.bilibili.com/video/BV1xa411A7U8/,https://i2.hdslb.com/bfs/archive/9e8dad7ce10daf6da68ce73c426664c52b8c07b6.jpg@672w_378h_1c_!web-search-common-cover,1万,9,05:22,https://space.bilibili.com/189122617,郑文弘频道, · 2020-10-24
别光看ChatGPT，2023年你还应该了解的10大AI神器,https://www.bilibili.com/video/BV1Bo4y1v74o/,https://i0.hdslb.com/bfs/archive/c9ed4079c71821c80737a6c6d0ab0b8477c57ab9.jpg@672w_378h_1c_!web-search-common-cover,22.6万,146,08:29,https://space.bilibili.com/3493134570883845,AI兔扒哥, · 2023-2-13
作为一名视频博主，AI会取代我的工作吗？（英文中字）,https://www.bilibili.com/video/BV1Rb411R7C9/,https://i0.hdslb.com/bfs/archive/99f3d46d289212c040a146d765ae8d2ed809e73f.jpg@672w_378h_1c_!web-search-common-cover,846,0,08:43,https://space.bilibili.com/357102267,Ashley桔子酱, · 2023-2-17
【AIGC】强到爆炸！这几个AI一起用，可以让你的照片连声音和嘴型都对起来！,https://www.bilibili.com/video/BV1E84y187MR/,https://i1.hdslb.com/bfs/archive/c5a2fbf09be4ad3c8734d4abd1232ac8c47927e8.jpg@672w_378h_1c_!web-search-common-cover,1.9万,5,06:11,https://space.bilibili.com/498518999,人工治障, · 2023-1-19
17分钟快速了解AI的实际应用【AI观察①】,https://www.bilibili.com/video/BV1WT41187Se/,https://i2.hdslb.com/bfs/archive/e6ccaa29a2f411dc1ab7ae37a2150ca435e30a69.jpg@672w_378h_1c_!web-search-common-cover,1531,25,17:10,https://space.bilibili.com/76194558,慢城Galaxy, · 2023-5-7
AI爱因斯坦 X AI奥本海默：对谈诺兰电影《奥本海默》,https://www.bilibili.com/video/BV16w411S7qN/,https://i2.hdslb.com/bfs/archive/1897bd2cf0849128a553fba7ecbb88b00a4b0104.jpg@672w_378h_1c_!web-search-common-cover,923,0,02:58,https://space.bilibili.com/23254093,学姐雅典娜, · 2023-8-31
预告-AI苏格拉底谈“大学与教育”选择大学的目的，仅仅是求生吗？,https://www.bilibili.com/video/BV1sF411X7AD/,https://i1.hdslb.com/bfs/archive/d73366e707e7515083954f5255e7b96ee2c9d233.jpg@672w_378h_1c_!web-search-common-cover,8433,2,01:12,https://space.bilibili.com/405083326,AI-Talk, · 2023-7-9
AI小丑谈话 预告片来看看哥谭疯子的AI Talk首秀，以及混乱之徒如何看待AI,https://www.bilibili.com/video/BV1P8411f7CD/,https://i2.hdslb.com/bfs/archive/1db276ae374640608aca5bd8fc183aa666d49047.jpg@672w_378h_1c_!web-search-common-cover,2.6万,2,00:42,https://space.bilibili.com/405083326,AI-Talk, · 2023-5-30
兄弟们，你们是怎么把握的啊？最后AI说的真的特别实用！,https://www.bilibili.com/video/BV1Mu4y1W7ty/,https://i2.hdslb.com/bfs/archive/e53d0929193637fcd651ba98a2d2f3de1c5bdabe.jpg@672w_378h_1c_!web-search-common-cover,4916,6,00:49,https://space.bilibili.com/1963543975,ChatGPT情报员, · 2023-10-21
外网超火的AI电视台，看完整个人压力全消,https://www.bilibili.com/video/BV1KP411C7rz/,https://i2.hdslb.com/bfs/archive/f7775051e6ff37ac694c597a5604933febc0e000.jpg@672w_378h_1c_!web-search-common-cover,1706,0,01:43,https://space.bilibili.com/504573481,房磊AI新发现, · 2023-7-19
